//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 3-20-2010
//--  Time: 19:18
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: -4(F), 	Resistance 1: 16150 Ohms 
//--    Temperature2: 104(F), 	Resistance 2: 1150 Ohms 
//--    Temperature3: 176(F), 	Resistance 3: 330 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
583	55.08	551 	2.847
584	54.92	549 	2.852
585	54.75	547 	2.856
586	54.58	546 	2.861
587	54.41	544 	2.866
588	54.24	542 	2.871
589	54.07	541 	2.876
590	53.91	539 	2.881
591	53.74	537 	2.886
592	53.57	536 	2.891
593	53.40	534 	2.896
594	53.23	532 	2.900
595	53.06	531 	2.905
596	52.89	529 	2.910
597	52.73	527 	2.915
598	52.56	526 	2.920
599	52.39	524 	2.925
600	52.22	522 	2.930
601	52.05	521 	2.935
602	51.88	519 	2.939
603	51.72	517 	2.944
604	51.55	515 	2.949
605	51.38	514 	2.954
606	51.21	512 	2.959
607	51.04	510 	2.964
608	50.87	509 	2.969
609	50.71	507 	2.974
610	50.54	505 	2.979
611	50.37	504 	2.983
612	50.20	502 	2.988
613	50.03	500 	2.993
614	49.86	499 	2.998
615	49.70	497 	3.003
616	49.53	495 	3.008
617	49.36	494 	3.013
618	49.19	492 	3.018
619	49.02	490 	3.022
620	48.85	489 	3.027
621	48.68	487 	3.032
622	48.52	485 	3.037
623	48.35	483 	3.042
624	48.18	482 	3.047
625	48.01	480 	3.052
626	47.84	478 	3.057
627	47.67	477 	3.062
628	47.50	475 	3.066
629	47.33	473 	3.071
630	47.16	472 	3.076
631	47.00	470 	3.081
632	46.83	468 	3.086
633	46.66	467 	3.091
634	46.49	465 	3.096
635	46.32	463 	3.101
636	46.15	461 	3.105
637	45.98	460 	3.110
638	45.81	458 	3.115
639	45.64	456 	3.120
640	45.47	455 	3.125
641	45.30	453 	3.130
642	45.13	451 	3.135
643	44.96	450 	3.140
644	44.79	448 	3.145
645	44.62	446 	3.149
646	44.45	445 	3.154
647	44.28	443 	3.159
648	44.11	441 	3.164
649	43.94	439 	3.169
650	43.77	438 	3.174
651	43.60	436 	3.179
652	43.43	434 	3.184
653	43.26	433 	3.188
654	43.09	431 	3.193
655	42.92	429 	3.198
656	42.75	427 	3.203
657	42.58	426 	3.208
658	42.41	424 	3.213
659	42.24	422 	3.218
660	42.07	421 	3.223
661	41.90	419 	3.228
662	41.72	417 	3.232
663	41.55	416 	3.237
664	41.38	414 	3.242
665	41.21	412 	3.247
666	41.04	410 	3.252
667	40.87	409 	3.257
668	40.69	407 	3.262
669	40.52	405 	3.267
670	40.35	404 	3.271
671	40.18	402 	3.276
672	40.01	400 	3.281
673	39.83	398 	3.286
674	39.66	397 	3.291
675	39.49	395 	3.296
676	39.32	393 	3.301
677	39.14	391 	3.306
678	38.97	390 	3.311
679	38.80	388 	3.315
680	38.62	386 	3.320
681	38.45	385 	3.325
682	38.28	383 	3.330
683	38.10	381 	3.335
684	37.93	379 	3.340
685	37.76	378 	3.345
686	37.58	376 	3.350
687	37.41	374 	3.354
688	37.24	372 	3.359
689	37.06	371 	3.364
690	36.89	369 	3.369
691	36.71	367 	3.374
692	36.54	365 	3.379
693	36.36	364 	3.384
694	36.19	362 	3.389
695	36.01	360 	3.394
696	35.84	358 	3.398
697	35.66	357 	3.403
698	35.49	355 	3.408
699	35.31	353 	3.413
700	35.13	351 	3.418
701	34.96	350 	3.423
702	34.78	348 	3.428
703	34.60	346 	3.433
704	34.43	344 	3.438
705	34.25	343 	3.442
706	34.07	341 	3.447
707	33.90	339 	3.452
708	33.72	337 	3.457
709	33.54	335 	3.462
710	33.36	334 	3.467
711	33.19	332 	3.472
712	33.01	330 	3.477
713	32.83	328 	3.481
714	32.65	327 	3.486
715	32.47	325 	3.491
716	32.29	323 	3.496
717	32.12	321 	3.501
718	31.94	319 	3.506
719	31.76	318 	3.511
720	31.58	316 	3.516
721	31.40	314 	3.521
722	31.22	312 	3.525
723	31.04	310 	3.530
724	30.86	309 	3.535
725	30.68	307 	3.540
726	30.49	305 	3.545
727	30.31	303 	3.550
728	30.13	301 	3.555
729	29.95	300 	3.560
730	29.77	298 	3.564
731	29.59	296 	3.569
732	29.40	294 	3.574
733	29.22	292 	3.579
734	29.04	290 	3.584
735	28.86	289 	3.589
736	28.67	287 	3.594
737	28.49	285 	3.599
738	28.31	283 	3.604
739	28.12	281 	3.608
740	27.94	279 	3.613
741	27.75	278 	3.618
742	27.57	276 	3.623
743	27.38	274 	3.628
744	27.20	272 	3.633
745	27.01	270 	3.638
746	26.83	268 	3.643
747	26.64	266 	3.647
748	26.45	265 	3.652
749	26.27	263 	3.657
750	26.08	261 	3.662
751	25.89	259 	3.667
752	25.71	257 	3.672
753	25.52	255 	3.677
754	25.33	253 	3.682
755	25.14	251 	3.687
756	24.95	250 	3.691
757	24.76	248 	3.696
758	24.57	246 	3.701
759	24.38	244 	3.706
760	24.19	242 	3.711
761	24.00	240 	3.716
762	23.81	238 	3.721
763	23.62	236 	3.726
764	23.43	234 	3.730
765	23.24	232 	3.735
766	23.05	230 	3.740
767	22.86	229 	3.745
768	22.66	227 	3.750
769	22.47	225 	3.755
770	22.28	223 	3.760
771	22.08	221 	3.765
772	21.89	219 	3.770
773	21.70	217 	3.774
774	21.50	215 	3.779
775	21.31	213 	3.784
776	21.11	211 	3.789
777	20.91	209 	3.794
778	20.72	207 	3.799
779	20.52	205 	3.804
780	20.33	203 	3.809
781	20.13	201 	3.813
782	19.93	199 	3.818
783	19.73	197 	3.823
784	19.53	195 	3.828
785	19.33	193 	3.833
786	19.14	191 	3.838
787	18.94	189 	3.843
788	18.74	187 	3.848
789	18.53	185 	3.853
790	18.33	183 	3.857
791	18.13	181 	3.862
792	17.93	179 	3.867
793	17.73	177 	3.872
794	17.53	175 	3.877
795	17.32	173 	3.882
796	17.12	171 	3.887
797	16.91	169 	3.892
798	16.71	167 	3.896
799	16.50	165 	3.901
800	16.30	163 	3.906
801	16.09	161 	3.911
802	15.89	159 	3.916
803	15.68	157 	3.921
804	15.47	155 	3.926
805	15.26	153 	3.931
806	15.06	151 	3.936
807	14.85	148 	3.940
808	14.64	146 	3.945
809	14.43	144 	3.950
810	14.22	142 	3.955
811	14.01	140 	3.960
812	13.79	138 	3.965
813	13.58	136 	3.970
814	13.37	134 	3.975
815	13.16	132 	3.979
816	12.94	129 	3.984
817	12.73	127 	3.989
818	12.51	125 	3.994
819	12.30	123 	3.999
820	12.08	121 	4.004
821	11.86	119 	4.009
822	11.65	116 	4.014
823	11.43	114 	4.019
824	11.21	112 	4.023
825	10.99	110 	4.028
826	10.77	108 	4.033
827	10.55	106 	4.038
828	10.33	103 	4.043
829	10.11	101 	4.048
830	9.89	99 	4.053
831	9.66	97 	4.058
832	9.44	94 	4.063
833	9.21	92 	4.067
834	8.99	90 	4.072
835	8.76	88 	4.077
836	8.54	85 	4.082
837	8.31	83 	4.087
838	8.08	81 	4.092
839	7.85	79 	4.097
840	7.62	76 	4.102
841	7.39	74 	4.106
842	7.16	72 	4.111
843	6.93	69 	4.116
844	6.70	67 	4.121
845	6.47	65 	4.126
846	6.23	62 	4.131
847	6.00	60 	4.136
848	5.76	58 	4.141
849	5.53	55 	4.146
850	5.29	53 	4.150
851	5.05	50 	4.155
852	4.81	48 	4.160
853	4.57	46 	4.165
854	4.33	43 	4.170
855	4.09	41 	4.175
856	3.85	38 	4.180
857	3.60	36 	4.185
858	3.36	34 	4.189
859	3.11	31 	4.194
860	2.87	29 	4.199
861	2.62	26 	4.204
862	2.37	24 	4.209
863	2.12	21 	4.214
864	1.87	19 	4.219
865	1.62	16 	4.224
866	1.37	14 	4.229
867	1.12	11 	4.233
868	0.86	9 	4.238
869	0.61	6 	4.243
870	0.35	4 	4.248
871	0.09	1 	4.253
872	-0.16	-2 	4.258
873	-0.42	-4 	4.263
874	-0.68	-7 	4.268
875	-0.95	-9 	4.272
876	-1.21	-12 	4.277
877	-1.47	-15 	4.282
878	-1.74	-17 	4.287
879	-2.00	-20 	4.292
880	-2.27	-23 	4.297
881	-2.54	-25 	4.302
882	-2.81	-28 	4.307
883	-3.08	-31 	4.312
884	-3.36	-34 	4.316
885	-3.63	-36 	4.321
886	-3.90	-39 	4.326
887	-4.18	-42 	4.331
888	-4.46	-45 	4.336
889	-4.74	-47 	4.341
890	-5.02	-50 	4.346
891	-5.30	-53 	4.351
892	-5.59	-56 	4.355
893	-5.87	-59 	4.360
894	-6.16	-62 	4.365
895	-6.45	-64 	4.370
896	-6.74	-67 	4.375
897	-7.03	-70 	4.380
898	-7.32	-73 	4.385
899	-7.62	-76 	4.390
900	-7.91	-79 	4.395
901	-8.21	-82 	4.399
902	-8.51	-85 	4.404
903	-8.81	-88 	4.409
904	-9.11	-91 	4.414
905	-9.42	-94 	4.419
906	-9.73	-97 	4.424
907	-10.03	-100 	4.429
908	-10.35	-103 	4.434
909	-10.66	-107 	4.438
910	-10.97	-110 	4.443
911	-11.29	-113 	4.448
912	-11.61	-116 	4.453
913	-11.93	-119 	4.458
914	-12.25	-122 	4.463
915	-12.57	-126 	4.468
916	-12.90	-129 	4.473
917	-13.23	-132 	4.478
918	-13.56	-136 	4.482
919	-13.89	-139 	4.487
920	-14.23	-142 	4.492
921	-14.57	-146 	4.497
922	-14.91	-149 	4.502
923	-15.25	-153 	4.507
924	-15.60	-156 	4.512
925	-15.95	-159 	4.517
926	-16.30	-163 	4.521
927	-16.65	-166 	4.526
928	-17.01	-170 	4.531
929	-17.36	-174 	4.536
930	-17.73	-177 	4.541
931	-18.09	-181 	4.546
932	-18.46	-185 	4.551
933	-18.83	-188 	4.556
934	-19.20	-192 	4.561
