//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 2-31-2010
//--  Time: 18:22
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: -40(F), 	Resistance 1: 100700 Ohms 
//--    Temperature2: 86(F), 	Resistance 2: 2238 Ohms 
//--    Temperature3: 210(F), 	Resistance 3: 177 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
169	154.53	1545 	0.825
170	154.17	1542 	0.830
171	153.82	1538 	0.835
172	153.47	1535 	0.840
173	153.12	1531 	0.845
174	152.77	1528 	0.850
175	152.43	1524 	0.854
176	152.09	1521 	0.859
177	151.74	1517 	0.864
178	151.41	1514 	0.869
179	151.07	1511 	0.874
180	150.73	1507 	0.879
181	150.40	1504 	0.884
182	150.07	1501 	0.889
183	149.74	1497 	0.894
184	149.41	1494 	0.898
185	149.08	1491 	0.903
186	148.76	1488 	0.908
187	148.43	1484 	0.913
188	148.11	1481 	0.918
189	147.79	1478 	0.923
190	147.47	1475 	0.928
191	147.16	1472 	0.933
192	146.84	1468 	0.938
193	146.53	1465 	0.942
194	146.21	1462 	0.947
195	145.90	1459 	0.952
196	145.59	1456 	0.957
197	145.29	1453 	0.962
198	144.98	1450 	0.967
199	144.67	1447 	0.972
200	144.37	1444 	0.977
201	144.07	1441 	0.981
202	143.77	1438 	0.986
203	143.47	1435 	0.991
204	143.17	1432 	0.996
205	142.87	1429 	1.001
206	142.58	1426 	1.006
207	142.29	1423 	1.011
208	141.99	1420 	1.016
209	141.70	1417 	1.021
210	141.41	1414 	1.025
211	141.12	1411 	1.030
212	140.84	1408 	1.035
213	140.55	1405 	1.040
214	140.26	1403 	1.045
215	139.98	1400 	1.050
216	139.70	1397 	1.055
217	139.42	1394 	1.060
218	139.14	1391 	1.064
219	138.86	1389 	1.069
220	138.58	1386 	1.074
221	138.30	1383 	1.079
222	138.03	1380 	1.084
223	137.75	1378 	1.089
224	137.48	1375 	1.094
225	137.21	1372 	1.099
226	136.93	1369 	1.104
227	136.66	1367 	1.108
228	136.39	1364 	1.113
229	136.13	1361 	1.118
230	135.86	1359 	1.123
231	135.59	1356 	1.128
232	135.33	1353 	1.133
233	135.06	1351 	1.138
234	134.80	1348 	1.143
235	134.54	1345 	1.147
236	134.28	1343 	1.152
237	134.02	1340 	1.157
238	133.76	1338 	1.162
239	133.50	1335 	1.167
240	133.24	1332 	1.172
241	132.99	1330 	1.177
242	132.73	1327 	1.182
243	132.48	1325 	1.187
244	132.22	1322 	1.191
245	131.97	1320 	1.196
246	131.72	1317 	1.201
247	131.47	1315 	1.206
248	131.22	1312 	1.211
249	130.97	1310 	1.216
250	130.72	1307 	1.221
251	130.47	1305 	1.226
252	130.23	1302 	1.230
253	129.98	1300 	1.235
254	129.74	1297 	1.240
255	129.49	1295 	1.245
256	129.25	1292 	1.250
257	129.01	1290 	1.255
258	128.77	1288 	1.260
259	128.52	1285 	1.265
260	128.28	1283 	1.270
261	128.05	1280 	1.274
262	127.81	1278 	1.279
263	127.57	1276 	1.284
264	127.33	1273 	1.289
265	127.10	1271 	1.294
266	126.86	1269 	1.299
267	126.63	1266 	1.304
268	126.39	1264 	1.309
269	126.16	1262 	1.313
270	125.93	1259 	1.318
271	125.69	1257 	1.323
272	125.46	1255 	1.328
273	125.23	1252 	1.333
274	125.00	1250 	1.338
275	124.77	1248 	1.343
276	124.54	1245 	1.348
277	124.32	1243 	1.353
278	124.09	1241 	1.357
279	123.86	1239 	1.362
280	123.64	1236 	1.367
281	123.41	1234 	1.372
282	123.19	1232 	1.377
283	122.96	1230 	1.382
284	122.74	1227 	1.387
285	122.52	1225 	1.392
286	122.30	1223 	1.396
287	122.07	1221 	1.401
288	121.85	1219 	1.406
289	121.63	1216 	1.411
290	121.41	1214 	1.416
291	121.20	1212 	1.421
292	120.98	1210 	1.426
293	120.76	1208 	1.431
294	120.54	1205 	1.436
295	120.33	1203 	1.440
296	120.11	1201 	1.445
297	119.89	1199 	1.450
298	119.68	1197 	1.455
299	119.47	1195 	1.460
300	119.25	1193 	1.465
301	119.04	1190 	1.470
302	118.83	1188 	1.475
303	118.61	1186 	1.479
304	118.40	1184 	1.484
305	118.19	1182 	1.489
306	117.98	1180 	1.494
307	117.77	1178 	1.499
308	117.56	1176 	1.504
309	117.35	1174 	1.509
310	117.14	1171 	1.514
311	116.94	1169 	1.519
312	116.73	1167 	1.523
313	116.52	1165 	1.528
