//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 0-2-2010
//--  Time: 16:18
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: -40(C), 	Resistance 1: 100700 Ohms 
//--    Temperature2: 30(C), 	Resistance 2: 2238 Ohms 
//--    Temperature3: 99(C), 	Resistance 3: 177 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
726	47.47	475 	3.545
727	47.30	473 	3.550
728	47.12	471 	3.555
729	46.95	470 	3.560
730	46.78	468 	3.564
731	46.61	466 	3.569
732	46.43	464 	3.574
733	46.26	463 	3.579
734	46.09	461 	3.584
735	45.91	459 	3.589
736	45.74	457 	3.594
737	45.56	456 	3.599
738	45.39	454 	3.604
739	45.21	452 	3.608
740	45.04	450 	3.613
741	44.86	449 	3.618
742	44.69	447 	3.623
743	44.51	445 	3.628
744	44.33	443 	3.633
745	44.16	442 	3.638
746	43.98	440 	3.643
747	43.80	438 	3.647
748	43.62	436 	3.652
749	43.44	434 	3.657
750	43.27	433 	3.662
751	43.09	431 	3.667
752	42.91	429 	3.672
753	42.73	427 	3.677
754	42.55	425 	3.682
755	42.37	424 	3.687
756	42.19	422 	3.691
757	42.01	420 	3.696
758	41.83	418 	3.701
759	41.65	416 	3.706
760	41.46	415 	3.711
761	41.28	413 	3.716
762	41.10	411 	3.721
763	40.92	409 	3.726
764	40.73	407 	3.730
765	40.55	406 	3.735
766	40.37	404 	3.740
767	40.18	402 	3.745
768	40.00	400 	3.750
769	39.81	398 	3.755
770	39.63	396 	3.760
771	39.44	394 	3.765
772	39.26	393 	3.770
773	39.07	391 	3.774
774	38.88	389 	3.779
775	38.70	387 	3.784
776	38.51	385 	3.789
777	38.32	383 	3.794
778	38.13	381 	3.799
779	37.94	379 	3.804
780	37.75	378 	3.809
781	37.56	376 	3.813
782	37.37	374 	3.818
783	37.18	372 	3.823
784	36.99	370 	3.828
785	36.80	368 	3.833
786	36.61	366 	3.838
787	36.42	364 	3.843
788	36.22	362 	3.848
789	36.03	360 	3.853
790	35.84	358 	3.857
791	35.64	356 	3.862
792	35.45	354 	3.867
793	35.25	353 	3.872
794	35.06	351 	3.877
795	34.86	349 	3.882
796	34.67	347 	3.887
797	34.47	345 	3.892
798	34.27	343 	3.896
799	34.07	341 	3.901
800	33.87	339 	3.906
801	33.68	337 	3.911
802	33.48	335 	3.916
803	33.28	333 	3.921
804	33.07	331 	3.926
805	32.87	329 	3.931
806	32.67	327 	3.936
807	32.47	325 	3.940
808	32.27	323 	3.945
809	32.06	321 	3.950
810	31.86	319 	3.955
811	31.66	317 	3.960
812	31.45	315 	3.965
813	31.24	312 	3.970
814	31.04	310 	3.975
815	30.83	308 	3.979
816	30.62	306 	3.984
817	30.42	304 	3.989
818	30.21	302 	3.994
819	30.00	300 	3.999
820	29.79	298 	4.004
821	29.58	296 	4.009
822	29.37	294 	4.014
823	29.16	292 	4.019
824	28.94	289 	4.023
825	28.73	287 	4.028
826	28.52	285 	4.033
827	28.30	283 	4.038
828	28.09	281 	4.043
829	27.87	279 	4.048
830	27.65	277 	4.053
831	27.44	274 	4.058
832	27.22	272 	4.063
833	27.00	270 	4.067
834	26.78	268 	4.072
835	26.56	266 	4.077
836	26.34	263 	4.082
837	26.12	261 	4.087
838	25.90	259 	4.092
839	25.67	257 	4.097
840	25.45	254 	4.102
841	25.22	252 	4.106
842	25.00	250 	4.111
843	24.77	248 	4.116
844	24.55	245 	4.121
845	24.32	243 	4.126
846	24.09	241 	4.131
847	23.86	239 	4.136
848	23.63	236 	4.141
849	23.40	234 	4.146
850	23.16	232 	4.150
851	22.93	229 	4.155
852	22.70	227 	4.160
853	22.46	225 	4.165
854	22.23	222 	4.170
855	21.99	220 	4.175
856	21.75	218 	4.180
857	21.51	215 	4.185
858	21.27	213 	4.189
859	21.03	210 	4.194
860	20.79	208 	4.199
861	20.55	205 	4.204
862	20.30	203 	4.209
863	20.06	201 	4.214
864	19.81	198 	4.219
865	19.57	196 	4.224
866	19.32	193 	4.229
867	19.07	191 	4.233
868	18.82	188 	4.238
869	18.57	186 	4.243
870	18.32	183 	4.248
871	18.06	181 	4.253
872	17.81	178 	4.258
873	17.55	176 	4.263
874	17.30	173 	4.268
875	17.04	170 	4.272
876	16.78	168 	4.277
877	16.52	165 	4.282
878	16.25	163 	4.287
879	15.99	160 	4.292
880	15.73	157 	4.297
881	15.46	155 	4.302
882	15.19	152 	4.307
883	14.93	149 	4.312
884	14.66	147 	4.316
885	14.38	144 	4.321
886	14.11	141 	4.326
887	13.84	138 	4.331
888	13.56	136 	4.336
889	13.28	133 	4.341
890	13.01	130 	4.346
891	12.72	127 	4.351
892	12.44	124 	4.355
893	12.16	122 	4.360
894	11.88	119 	4.365
895	11.59	116 	4.370
896	11.30	113 	4.375
897	11.01	110 	4.380
898	10.72	107 	4.385
899	10.43	104 	4.390
900	10.13	101 	4.395
901	9.83	98 	4.399
902	9.54	95 	4.404
903	9.23	92 	4.409
904	8.93	89 	4.414
905	8.63	86 	4.419
906	8.32	83 	4.424
907	8.01	80 	4.429
908	7.70	77 	4.434
909	7.39	74 	4.438
910	7.08	71 	4.443
911	6.76	68 	4.448
912	6.44	64 	4.453
913	6.12	61 	4.458
914	5.80	58 	4.463
915	5.47	55 	4.468
916	5.15	51 	4.473
917	4.82	48 	4.478
918	4.49	45 	4.482
919	4.15	42 	4.487
920	3.81	38 	4.492
921	3.47	35 	4.497
922	3.13	31 	4.502
923	2.79	28 	4.507
