//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 2-16-2014
//--  Time: 15:22
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: -4.0(F), 	Resistance 1: 16200.0 Ohms 
//--    Temperature2: 68.0(F), 	Resistance 2: 2500.0 Ohms 
//--    Temperature3: 176.0(F), 	Resistance 3: 300.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
383	91.30	913 	1.870
384	91.10	911 	1.875
385	90.91	909 	1.880
386	90.72	907 	1.885
387	90.52	905 	1.890
388	90.33	903 	1.895
389	90.14	901 	1.899
390	89.94	899 	1.904
391	89.75	898 	1.909
392	89.56	896 	1.914
393	89.37	894 	1.919
394	89.17	892 	1.924
395	88.98	890 	1.929
396	88.79	888 	1.934
397	88.60	886 	1.938
398	88.41	884 	1.943
399	88.22	882 	1.948
400	88.03	880 	1.953
401	87.84	878 	1.958
402	87.65	877 	1.963
403	87.46	875 	1.968
404	87.27	873 	1.973
405	87.09	871 	1.978
406	86.90	869 	1.982
407	86.71	867 	1.987
408	86.52	865 	1.992
409	86.33	863 	1.997
410	86.15	861 	2.002
411	85.96	860 	2.007
412	85.77	858 	2.012
413	85.59	856 	2.017
414	85.40	854 	2.021
415	85.21	852 	2.026
416	85.03	850 	2.031
417	84.84	848 	2.036
418	84.66	847 	2.041
419	84.47	845 	2.046
420	84.29	843 	2.051
421	84.10	841 	2.056
422	83.92	839 	2.061
423	83.74	837 	2.065
424	83.55	836 	2.070
425	83.37	834 	2.075
426	83.19	832 	2.080
427	83.00	830 	2.085
428	82.82	828 	2.090
429	82.64	826 	2.095
430	82.45	825 	2.100
431	82.27	823 	2.104
432	82.09	821 	2.109
433	81.91	819 	2.114
434	81.73	817 	2.119
435	81.55	815 	2.124
436	81.36	814 	2.129
437	81.18	812 	2.134
438	81.00	810 	2.139
439	80.82	808 	2.144
440	80.64	806 	2.148
441	80.46	805 	2.153
442	80.28	803 	2.158
443	80.10	801 	2.163
444	79.92	799 	2.168
445	79.74	797 	2.173
446	79.56	796 	2.178
447	79.39	794 	2.183
448	79.21	792 	2.188
449	79.03	790 	2.192
450	78.85	789 	2.197
451	78.67	787 	2.202
452	78.49	785 	2.207
453	78.32	783 	2.212
454	78.14	781 	2.217
455	77.96	780 	2.222
456	77.78	778 	2.227
457	77.61	776 	2.231
458	77.43	774 	2.236
459	77.25	773 	2.241
460	77.08	771 	2.246
461	76.90	769 	2.251
462	76.72	767 	2.256
463	76.55	765 	2.261
464	76.37	764 	2.266
465	76.20	762 	2.271
466	76.02	760 	2.275
467	75.85	758 	2.280
468	75.67	757 	2.285
469	75.49	755 	2.290
470	75.32	753 	2.295
471	75.14	751 	2.300
472	74.97	750 	2.305
473	74.80	748 	2.310
474	74.62	746 	2.314
475	74.45	744 	2.319
476	74.27	743 	2.324
477	74.10	741 	2.329
478	73.93	739 	2.334
479	73.75	738 	2.339
480	73.58	736 	2.344
481	73.40	734 	2.349
482	73.23	732 	2.354
483	73.06	731 	2.358
484	72.89	729 	2.363
485	72.71	727 	2.368
486	72.54	725 	2.373
487	72.37	724 	2.378
488	72.19	722 	2.383
489	72.02	720 	2.388
490	71.85	718 	2.393
491	71.68	717 	2.397
492	71.51	715 	2.402
493	71.33	713 	2.407
494	71.16	712 	2.412
495	70.99	710 	2.417
496	70.82	708 	2.422
497	70.65	706 	2.427
498	70.48	705 	2.432
499	70.31	703 	2.437
500	70.13	701 	2.441
501	69.96	700 	2.446
502	69.79	698 	2.451
503	69.62	696 	2.456
504	69.45	695 	2.461
505	69.28	693 	2.466
506	69.11	691 	2.471
507	68.94	689 	2.476
508	68.77	688 	2.480
509	68.60	686 	2.485
510	68.43	684 	2.490
511	68.26	683 	2.495
512	68.09	681 	2.500
513	67.92	679 	2.505
514	67.75	677 	2.510
515	67.58	676 	2.515
516	67.41	674 	2.520
517	67.24	672 	2.524
518	67.07	671 	2.529
519	66.90	669 	2.534
520	66.73	667 	2.539
521	66.56	666 	2.544
522	66.40	664 	2.549
523	66.23	662 	2.554
524	66.06	661 	2.559
525	65.89	659 	2.563
526	65.72	657 	2.568
527	65.55	656 	2.573
528	65.38	654 	2.578
529	65.21	652 	2.583
530	65.05	650 	2.588
531	64.88	649 	2.593
532	64.71	647 	2.598
533	64.54	645 	2.603
534	64.37	644 	2.607
535	64.20	642 	2.612
536	64.04	640 	2.617
537	63.87	639 	2.622
538	63.70	637 	2.627
539	63.53	635 	2.632
540	63.36	634 	2.637
541	63.20	632 	2.642
542	63.03	630 	2.646
543	62.86	629 	2.651
544	62.69	627 	2.656
545	62.53	625 	2.661
546	62.36	624 	2.666
547	62.19	622 	2.671
548	62.02	620 	2.676
549	61.86	619 	2.681
550	61.69	617 	2.686
551	61.52	615 	2.690
552	61.35	614 	2.695
553	61.19	612 	2.700
554	61.02	610 	2.705
555	60.85	609 	2.710
556	60.68	607 	2.715
557	60.52	605 	2.720
558	60.35	604 	2.725
559	60.18	602 	2.729
560	60.02	600 	2.734
561	59.85	598 	2.739
562	59.68	597 	2.744
563	59.52	595 	2.749
564	59.35	593 	2.754
565	59.18	592 	2.759
566	59.01	590 	2.764
567	58.85	588 	2.769
568	58.68	587 	2.773
569	58.51	585 	2.778
570	58.35	583 	2.783
571	58.18	582 	2.788
572	58.01	580 	2.793
573	57.85	578 	2.798
574	57.68	577 	2.803
575	57.51	575 	2.808
576	57.35	573 	2.813
577	57.18	572 	2.817
578	57.01	570 	2.822
579	56.85	568 	2.827
580	56.68	567 	2.832
581	56.51	565 	2.837
582	56.35	563 	2.842
583	56.18	562 	2.847
584	56.01	560 	2.852
585	55.85	558 	2.856
586	55.68	557 	2.861
587	55.51	555 	2.866
588	55.34	553 	2.871
589	55.18	552 	2.876
590	55.01	550 	2.881
591	54.84	548 	2.886
592	54.68	547 	2.891
593	54.51	545 	2.896
594	54.34	543 	2.900
595	54.18	542 	2.905
596	54.01	540 	2.910
597	53.84	538 	2.915
598	53.68	537 	2.920
599	53.51	535 	2.925
600	53.34	533 	2.930
601	53.18	532 	2.935
602	53.01	530 	2.939
603	52.84	528 	2.944
604	52.67	527 	2.949
605	52.51	525 	2.954
606	52.34	523 	2.959
607	52.17	522 	2.964
608	52.00	520 	2.969
609	51.84	518 	2.974
610	51.67	517 	2.979
611	51.50	515 	2.983
612	51.34	513 	2.988
613	51.17	512 	2.993
614	51.00	510 	2.998
615	50.83	508 	3.003
616	50.67	507 	3.008
617	50.50	505 	3.013
618	50.33	503 	3.018
619	50.16	502 	3.022
620	49.99	500 	3.027
621	49.83	498 	3.032
622	49.66	497 	3.037
623	49.49	495 	3.042
624	49.32	493 	3.047
625	49.15	492 	3.052
626	48.99	490 	3.057
627	48.82	488 	3.062
628	48.65	486 	3.066
629	48.48	485 	3.071
630	48.31	483 	3.076
631	48.14	481 	3.081
632	47.98	480 	3.086
633	47.81	478 	3.091
634	47.64	476 	3.096
635	47.47	475 	3.101
636	47.30	473 	3.105
637	47.13	471 	3.110
638	46.96	470 	3.115
639	46.79	468 	3.120
640	46.62	466 	3.125
641	46.46	465 	3.130
642	46.29	463 	3.135
643	46.12	461 	3.140
644	45.95	459 	3.145
645	45.78	458 	3.149
646	45.61	456 	3.154
647	45.44	454 	3.159
648	45.27	453 	3.164
649	45.10	451 	3.169
650	44.93	449 	3.174
651	44.76	448 	3.179
652	44.59	446 	3.184
653	44.42	444 	3.188
654	44.25	442 	3.193
655	44.08	441 	3.198
656	43.90	439 	3.203
657	43.73	437 	3.208
658	43.56	436 	3.213
659	43.39	434 	3.218
660	43.22	432 	3.223
661	43.05	430 	3.228
662	42.88	429 	3.232
663	42.71	427 	3.237
664	42.53	425 	3.242
665	42.36	424 	3.247
666	42.19	422 	3.252
667	42.02	420 	3.257
668	41.85	418 	3.262
669	41.67	417 	3.267
670	41.50	415 	3.271
671	41.33	413 	3.276
672	41.16	412 	3.281
673	40.98	410 	3.286
674	40.81	408 	3.291
675	40.64	406 	3.296
676	40.46	405 	3.301
677	40.29	403 	3.306
678	40.12	401 	3.311
679	39.94	399 	3.315
680	39.77	398 	3.320
681	39.60	396 	3.325
682	39.42	394 	3.330
683	39.25	392 	3.335
684	39.07	391 	3.340
685	38.90	389 	3.345
686	38.72	387 	3.350
687	38.55	385 	3.354
688	38.37	384 	3.359
689	38.20	382 	3.364
690	38.02	380 	3.369
691	37.85	378 	3.374
692	37.67	377 	3.379
693	37.50	375 	3.384
694	37.32	373 	3.389
695	37.14	371 	3.394
696	36.97	370 	3.398
697	36.79	368 	3.403
698	36.61	366 	3.408
699	36.44	364 	3.413
700	36.26	363 	3.418
701	36.08	361 	3.423
702	35.90	359 	3.428
703	35.73	357 	3.433
704	35.55	355 	3.438
705	35.37	354 	3.442
706	35.19	352 	3.447
707	35.01	350 	3.452
708	34.83	348 	3.457
709	34.65	347 	3.462
710	34.48	345 	3.467
711	34.30	343 	3.472
712	34.12	341 	3.477
713	33.94	339 	3.481
714	33.76	338 	3.486
715	33.58	336 	3.491
716	33.39	334 	3.496
717	33.21	332 	3.501
718	33.03	330 	3.506
719	32.85	329 	3.511
720	32.67	327 	3.516
721	32.49	325 	3.521
722	32.31	323 	3.525
723	32.12	321 	3.530
724	31.94	319 	3.535
725	31.76	318 	3.540
726	31.58	316 	3.545
727	31.39	314 	3.550
728	31.21	312 	3.555
729	31.03	310 	3.560
730	30.84	308 	3.564
731	30.66	307 	3.569
732	30.47	305 	3.574
733	30.29	303 	3.579
734	30.10	301 	3.584
735	29.92	299 	3.589
736	29.73	297 	3.594
737	29.55	295 	3.599
738	29.36	294 	3.604
739	29.17	292 	3.608
740	28.99	290 	3.613
741	28.80	288 	3.618
742	28.61	286 	3.623
743	28.42	284 	3.628
744	28.24	282 	3.633
745	28.05	280 	3.638
746	27.86	279 	3.643
747	27.67	277 	3.647
748	27.48	275 	3.652
749	27.29	273 	3.657
750	27.10	271 	3.662
