
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
"Flag","Flag","Flag","Flag","ms","ms"
1.0,0.0,0.0,0.0,36.00234,2744.198
1.0,0.0,1.0,0.0,95.8221,2840.02
0.0,1.0,0.0,0.0,119.66394,2959.684
0.0,0.0,1.0,0.0,9.45186,2969.136
1.0,1.0,0.0,0.0,95.16936,3064.3054
1.0,0.0,1.0,0.0,35.07768,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
0.0,0.0,0.0,0.0,0.0,3099.383
