//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 9-1-2012
//--  Time: 16:52
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: 48(F), 	Resistance 1: 7000 Ohms 
//--    Temperature2: 87(F), 	Resistance 2: 1930 Ohms 
//--    Temperature3: 146(F), 	Resistance 3: 560 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
170	153.21	1532 	0.830
171	152.78	1528 	0.835
172	152.35	1524 	0.840
173	151.93	1519 	0.845
174	151.51	1515 	0.850
175	151.10	1511 	0.854
176	150.68	1507 	0.859
177	150.27	1503 	0.864
178	149.87	1499 	0.869
179	149.46	1495 	0.874
180	149.06	1491 	0.879
181	148.66	1487 	0.884
182	148.26	1483 	0.889
183	147.87	1479 	0.894
184	147.48	1475 	0.898
185	147.09	1471 	0.903
186	146.70	1467 	0.908
187	146.32	1463 	0.913
188	145.94	1459 	0.918
189	145.56	1456 	0.923
190	145.18	1452 	0.928
191	144.80	1448 	0.933
192	144.43	1444 	0.938
193	144.06	1441 	0.942
194	143.69	1437 	0.947
195	143.33	1433 	0.952
196	142.97	1430 	0.957
197	142.60	1426 	0.962
198	142.25	1422 	0.967
199	141.89	1419 	0.972
200	141.53	1415 	0.977
201	141.18	1412 	0.981
202	140.83	1408 	0.986
203	140.48	1405 	0.991
204	140.14	1401 	0.996
205	139.79	1398 	1.001
206	139.45	1394 	1.006
207	139.11	1391 	1.011
208	138.77	1388 	1.016
209	138.43	1384 	1.021
210	138.10	1381 	1.025
211	137.76	1378 	1.030
212	137.43	1374 	1.035
213	137.10	1371 	1.040
214	136.78	1368 	1.045
215	136.45	1365 	1.050
216	136.13	1361 	1.055
217	135.80	1358 	1.060
218	135.48	1355 	1.064
219	135.16	1352 	1.069
220	134.85	1348 	1.074
221	134.53	1345 	1.079
222	134.22	1342 	1.084
223	133.91	1339 	1.089
224	133.59	1336 	1.094
225	133.29	1333 	1.099
226	132.98	1330 	1.104
227	132.67	1327 	1.108
228	132.37	1324 	1.113
229	132.06	1321 	1.118
230	131.76	1318 	1.123
231	131.46	1315 	1.128
232	131.16	1312 	1.133
233	130.87	1309 	1.138
234	130.57	1306 	1.143
235	130.28	1303 	1.147
236	129.99	1300 	1.152
237	129.69	1297 	1.157
238	129.40	1294 	1.162
239	129.12	1291 	1.167
240	128.83	1288 	1.172
241	128.54	1285 	1.177
242	128.26	1283 	1.182
243	127.98	1280 	1.187
244	127.69	1277 	1.191
245	127.41	1274 	1.196
246	127.13	1271 	1.201
247	126.86	1269 	1.206
248	126.58	1266 	1.211
249	126.30	1263 	1.216
250	126.03	1260 	1.221
251	125.76	1258 	1.226
252	125.49	1255 	1.230
253	125.22	1252 	1.235
254	124.95	1249 	1.240
255	124.68	1247 	1.245
256	124.41	1244 	1.250
257	124.15	1241 	1.255
258	123.88	1239 	1.260
259	123.62	1236 	1.265
260	123.36	1234 	1.270
261	123.09	1231 	1.274
262	122.83	1228 	1.279
263	122.58	1226 	1.284
264	122.32	1223 	1.289
265	122.06	1221 	1.294
266	121.80	1218 	1.299
267	121.55	1216 	1.304
268	121.30	1213 	1.309
269	121.04	1210 	1.313
270	120.79	1208 	1.318
271	120.54	1205 	1.323
272	120.29	1203 	1.328
273	120.04	1200 	1.333
274	119.80	1198 	1.338
275	119.55	1195 	1.343
276	119.30	1193 	1.348
277	119.06	1191 	1.353
278	118.82	1188 	1.357
279	118.57	1186 	1.362
280	118.33	1183 	1.367
281	118.09	1181 	1.372
282	117.85	1179 	1.377
283	117.61	1176 	1.382
284	117.37	1174 	1.387
285	117.14	1171 	1.392
286	116.90	1169 	1.396
287	116.67	1167 	1.401
288	116.43	1164 	1.406
289	116.20	1162 	1.411
290	115.97	1160 	1.416
291	115.73	1157 	1.421
292	115.50	1155 	1.426
293	115.27	1153 	1.431
294	115.04	1150 	1.436
295	114.82	1148 	1.440
296	114.59	1146 	1.445
297	114.36	1144 	1.450
298	114.14	1141 	1.455
299	113.91	1139 	1.460
300	113.69	1137 	1.465
301	113.46	1135 	1.470
302	113.24	1132 	1.475
303	113.02	1130 	1.479
304	112.80	1128 	1.484
305	112.58	1126 	1.489
306	112.36	1124 	1.494
307	112.14	1121 	1.499
308	111.92	1119 	1.504
309	111.70	1117 	1.509
310	111.49	1115 	1.514
311	111.27	1113 	1.519
312	111.05	1111 	1.523
313	110.84	1108 	1.528
314	110.63	1106 	1.533
