#Firmware: MS3 pre-1.3 RC2       20140224 12:07GMT (c) JSM/KC ********
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
0.0,0.0,0.0,1.0,3.968,25699.926
0.0,0.0,0.0,1.0,12.35,25712.275
0.0,0.0,0.0,1.0,19.421,25731.697
0.0,0.0,0.0,1.0,12.339,25744.037
0.0,0.0,1.0,1.0,8.104,25752.14
0.0,0.0,1.0,1.0,7.236,25759.377
0.0,0.0,0.0,1.0,4.145,25763.521
0.0,0.0,0.0,1.0,12.431,25775.953
0.0,0.0,0.0,1.0,19.491,25795.443
0.0,0.0,0.0,1.0,12.366,25807.809
0.0,0.0,1.0,1.0,15.514,25823.322
0.0,0.0,0.0,1.0,3.959,25827.281
0.0,0.0,0.0,1.0,12.401,25839.682
0.0,0.0,0.0,1.0,19.521,25859.203
0.0,0.0,0.0,1.0,12.407,25871.61
0.0,0.0,1.0,1.0,8.158,25879.768
0.0,0.0,1.0,1.0,7.254,25887.021
0.0,0.0,0.0,1.0,4.143,25891.164
0.0,0.0,0.0,1.0,12.459,25903.623
0.0,0.0,0.0,1.0,19.542,25923.166
0.0,0.0,0.0,1.0,12.392,25935.559
0.0,0.0,1.0,1.0,15.518,25951.076
0.0,0.0,0.0,1.0,3.964,25955.041
0.0,0.0,0.0,1.0,12.385,25967.426
0.0,0.0,0.0,1.0,19.468,25986.895
0.0,0.0,0.0,1.0,12.364,25999.258
0.0,0.0,1.0,1.0,8.104,26007.361
0.0,0.0,1.0,1.0,7.205,26014.566
0.0,0.0,0.0,1.0,4.139,26018.705
0.0,0.0,0.0,1.0,12.368,26031.072
0.0,0.0,0.0,1.0,19.412,26050.484
0.0,0.0,0.0,1.0,12.315,26062.799
0.0,0.0,1.0,1.0,15.413,26078.21
0.0,0.0,0.0,1.0,3.935,26082.146
0.0,0.0,0.0,1.0,12.298,26094.445
0.0,0.0,0.0,1.0,19.401,26113.846
0.0,0.0,0.0,1.0,12.361,26126.207
0.0,0.0,1.0,1.0,8.111,26134.318
0.0,0.0,1.0,1.0,7.263,26141.582
0.0,0.0,0.0,1.0,4.156,26145.738
0.0,0.0,0.0,1.0,12.467,26158.205
0.0,0.0,0.0,1.0,19.511,26177.717
0.0,0.0,0.0,1.0,12.361,26190.078
0.0,0.0,1.0,1.0,15.502,26205.58
0.0,0.0,0.0,1.0,3.978,26209.559
0.0,0.0,0.0,1.0,12.408,26221.967
0.0,0.0,0.0,1.0,19.457,26241.424
0.0,0.0,0.0,1.0,12.354,26253.777
0.0,0.0,1.0,1.0,8.127,26261.904
0.0,0.0,1.0,1.0,7.22,26269.125
0.0,0.0,0.0,1.0,4.11,26273.234
0.0,0.0,0.0,1.0,12.38,26285.615
0.0,0.0,0.0,1.0,19.404,26305.02
0.0,0.0,0.0,1.0,12.298,26317.318
0.0,0.0,1.0,1.0,15.412,26332.73
0.0,0.0,0.0,1.0,3.937,26336.668
0.0,0.0,0.0,1.0,12.307,26348.975
0.0,0.0,0.0,1.0,19.361,26368.336
0.0,0.0,0.0,1.0,12.308,26380.645
0.0,0.0,1.0,1.0,8.074,26388.719
0.0,0.0,1.0,1.0,7.189,26395.908
0.0,0.0,0.0,1.0,4.11,26400.018
0.0,0.0,0.0,1.0,12.336,26412.354
0.0,0.0,0.0,1.0,19.342,26431.695
0.0,0.0,0.0,1.0,12.264,26443.959
0.0,0.0,1.0,1.0,15.381,26459.34
0.0,0.0,0.0,1.0,3.941,26463.281
0.0,0.0,0.0,1.0,12.304,26475.586
0.0,0.0,0.0,1.0,19.404,26494.99
0.0,0.0,0.0,1.0,12.361,26507.352
0.0,0.0,1.0,1.0,8.099,26515.451
0.0,0.0,1.0,1.0,7.253,26522.705
0.0,0.0,0.0,1.0,4.169,26526.875
0.0,0.0,0.0,1.0,12.458,26539.332
0.0,0.0,0.0,1.0,19.486,26558.818
0.0,0.0,0.0,1.0,12.344,26571.162
0.0,0.0,1.0,1.0,15.486,26586.648
0.0,0.0,0.0,1.0,3.971,26590.62
0.0,0.0,0.0,1.0,12.382,26603.002
0.0,0.0,0.0,1.0,19.466,26622.469
0.0,0.0,0.0,1.0,12.362,26634.83
0.0,0.0,1.0,1.0,8.116,26642.945
0.0,0.0,1.0,1.0,7.183,26650.129
0.0,0.0,0.0,1.0,4.092,26654.22
0.0,0.0,0.0,1.0,12.322,26666.543
0.0,0.0,0.0,1.0,19.336,26685.879
0.0,0.0,0.0,1.0,12.258,26698.137
0.0,0.0,1.0,1.0,15.362,26713.498
0.0,0.0,0.0,1.0,3.919,26717.418
0.0,0.0,0.0,1.0,12.264,26729.682
0.0,0.0,0.0,1.0,19.299,26748.98
0.0,0.0,0.0,1.0,12.269,26761.25
0.0,0.0,1.0,1.0,8.056,26769.307
0.0,0.0,1.0,1.0,7.207,26776.514
0.0,0.0,0.0,1.0,4.11,26780.623
0.0,0.0,0.0,1.0,12.359,26792.982
0.0,0.0,0.0,1.0,19.402,26812.385
0.0,0.0,0.0,1.0,12.311,26824.695
0.0,0.0,1.0,1.0,15.425,26840.121
0.0,0.0,0.0,1.0,3.965,26844.086
0.0,0.0,0.0,1.0,12.345,26856.432
0.0,0.0,0.0,1.0,19.426,26875.857
0.0,0.0,0.0,1.0,12.353,26888.21
0.0,0.0,1.0,1.0,8.103,26896.314
0.0,0.0,1.0,1.0,7.213,26903.527
0.0,0.0,0.0,1.0,4.132,26907.66
0.0,0.0,0.0,1.0,12.377,26920.037
0.0,0.0,0.0,1.0,19.384,26939.422
0.0,0.0,0.0,1.0,12.291,26951.713
0.0,0.0,1.0,1.0,15.395,26967.107
0.0,0.0,0.0,1.0,3.938,26971.045
0.0,0.0,0.0,1.0,12.294,26983.34
0.0,0.0,0.0,1.0,19.371,27002.71
0.0,0.0,0.0,1.0,12.327,27015.037
0.0,0.0,1.0,1.0,8.104,27023.14
0.0,0.0,1.0,1.0,7.227,27030.367
0.0,0.0,0.0,1.0,4.118,27034.484
0.0,0.0,0.0,1.0,12.397,27046.88
0.0,0.0,0.0,1.0,19.385,27066.266
0.0,0.0,0.0,1.0,12.291,27078.557
0.0,0.0,1.0,1.0,15.402,27093.959
0.0,0.0,0.0,1.0,3.914,27097.873
0.0,0.0,0.0,1.0,12.273,27110.146
0.0,0.0,0.0,1.0,19.333,27129.479
0.0,0.0,0.0,1.0,12.303,27141.781
0.0,0.0,1.0,1.0,8.085,27149.867
0.0,0.0,1.0,1.0,7.212,27157.08
0.0,0.0,0.0,1.0,4.11,27161.19
0.0,0.0,0.0,1.0,12.364,27173.553
0.0,0.0,0.0,1.0,19.41,27192.963
0.0,0.0,0.0,1.0,12.313,27205.275
0.0,0.0,1.0,1.0,15.436,27220.71
0.0,0.0,0.0,1.0,3.977,27224.688
0.0,0.0,0.0,1.0,12.367,27237.055
0.0,0.0,0.0,1.0,19.457,27256.512
